year;COUNT von year;Settings
1793;1;"columnSettings: {
    fill: chart.get(""colors"").next()
  }"
1794;2;"columnSettings: {
    fill: chart.get(""colors"").next()
  }"
1795;1;"columnSettings: {
    fill: chart.get(""colors"").next()
  }"
1797;1;"columnSettings: {
    fill: chart.get(""colors"").next()
  }"
1798;3;"columnSettings: {
    fill: chart.get(""colors"").next()
  }"
1800;2;"columnSettings: {
    fill: chart.get(""colors"").next()
  }"
1801;2;"columnSettings: {
    fill: chart.get(""colors"").next()
  }"
1802;4;"columnSettings: {
    fill: chart.get(""colors"").next()
  }"
1803;1;"columnSettings: {
    fill: chart.get(""colors"").next()
  }"
1806;2;"columnSettings: {
    fill: chart.get(""colors"").next()
  }"
1808;2;"columnSettings: {
    fill: chart.get(""colors"").next()
  }"
1809;5;"columnSettings: {
    fill: chart.get(""colors"").next()
  }"
1810;5;"columnSettings: {
    fill: chart.get(""colors"").next()
  }"
1811;8;"columnSettings: {
    fill: chart.get(""colors"").next()
  }"
1812;5;"columnSettings: {
    fill: chart.get(""colors"").next()
  }"
1813;3;"columnSettings: {
    fill: chart.get(""colors"").next()
  }"
1814;14;"columnSettings: {
    fill: chart.get(""colors"").next()
  }"
1815;34;"columnSettings: {
    fill: chart.get(""colors"").next()
  }"
1816;27;"columnSettings: {
    fill: chart.get(""colors"").next()
  }"
1817;36;"columnSettings: {
    fill: chart.get(""colors"").next()
  }"
1818;13;"columnSettings: {
    fill: chart.get(""colors"").next()
  }"
1819;14;"columnSettings: {
    fill: chart.get(""colors"").next()
  }"
1820;25;"columnSettings: {
    fill: chart.get(""colors"").next()
  }"
1821;9;"columnSettings: {
    fill: chart.get(""colors"").next()
  }"
1822;9;"columnSettings: {
    fill: chart.get(""colors"").next()
  }"
1823;16;"columnSettings: {
    fill: chart.get(""colors"").next()
  }"
1824;30;"columnSettings: {
    fill: chart.get(""colors"").next()
  }"
1825;62;"columnSettings: {
    fill: chart.get(""colors"").next()
  }"
1826;37;"columnSettings: {
    fill: chart.get(""colors"").next()
  }"
1827;47;"columnSettings: {
    fill: chart.get(""colors"").next()
  }"
1828;86;"columnSettings: {
    fill: chart.get(""colors"").next()
  }"
1829;125;"columnSettings: {
    fill: chart.get(""colors"").next()
  }"
1830;67;"columnSettings: {
    fill: chart.get(""colors"").next()
  }"
1831;85;"columnSettings: {
    fill: chart.get(""colors"").next()
  }"
1832;57;"columnSettings: {
    fill: chart.get(""colors"").next()
  }"
1833;91;"columnSettings: {
    fill: chart.get(""colors"").next()
  }"
1834;73;"columnSettings: {
    fill: chart.get(""colors"").next()
  }"
1835;104;"columnSettings: {
    fill: chart.get(""colors"").next()
  }"
1836;121;"columnSettings: {
    fill: chart.get(""colors"").next()
  }"
1837;97;"columnSettings: {
    fill: chart.get(""colors"").next()
  }"
1838;69;"columnSettings: {
    fill: chart.get(""colors"").next()
  }"
1839;106;"columnSettings: {
    fill: chart.get(""colors"").next()
  }"
1840;86;"columnSettings: {
    fill: chart.get(""colors"").next()
  }"
1841;85;"columnSettings: {
    fill: chart.get(""colors"").next()
  }"
1842;45;"columnSettings: {
    fill: chart.get(""colors"").next()
  }"
1843;3;"columnSettings: {
    fill: chart.get(""colors"").next()
  }"
1844;58;"columnSettings: {
    fill: chart.get(""colors"").next()
  }"
1845;1;"columnSettings: {
    fill: chart.get(""colors"").next()
  }"